"","MGI.symbol","HGNC.symbol","pair"
"1","Abcb10","ABCB10","ABCB10_Abcb10"
"2","Abcb8","ABCB8","ABCB8_Abcb8"
"3","Abcc10","ABCC10","ABCC10_Abcc10"
"4","Abcd4","ABCD4","ABCD4_Abcd4"
"5","Abhd12","ABHD12","ABHD12_Abhd12"
"6","Abhd16a","ABHD16A","ABHD16A_Abhd16a"
"7","Abhd2","ABHD2","ABHD2_Abhd2"
"8","Abl1","ABL1","ABL1_Abl1"
"9","Acadm","ACADM","ACADM_Acadm"
"10","Acadvl","ACADVL","ACADVL_Acadvl"
"11","Acan","ACAN","ACAN_Acan"
"12","Acap1","ACAP1","ACAP1_Acap1"
"13","Acbd3","ACBD3","ACBD3_Acbd3"
"14","Acbd4","ACBD4","ACBD4_Acbd4"
"15","Ace","ACE","ACE_Ace"
"16","Acer3","ACER3","ACER3_Acer3"
"17","Aco2","ACO2","ACO2_Aco2"
"18","Acp2","ACP2","ACP2_Acp2"
"19","Acsf3","ACSF3","ACSF3_Acsf3"
"20","Acsl1","ACSL1","ACSL1_Acsl1"
"21","Acsl3","ACSL3","ACSL3_Acsl3"
"22","Actb","ACTB","ACTB_Actb"
"23","Actg2","ACTG2","ACTG2_Actg2"
"24","Actn4","ACTN4","ACTN4_Actn4"
"25","Actr1b","ACTR1B","ACTR1B_Actr1b"
"26","Actr3","ACTR3","ACTR3_Actr3"
"27","Actr3b","ACTR3B","ACTR3B_Actr3b"
"28","Actr5","ACTR5","ACTR5_Actr5"
"29","Adam17","ADAM17","ADAM17_Adam17"
"30","Adar","ADAR","ADAR_Adar"
"31","Adarb1","ADARB1","ADARB1_Adarb1"
"32","Adcy3","ADCY3","ADCY3_Adcy3"
"33","Add1","ADD1","ADD1_Add1"
"34","Adh5","ADH5","ADH5_Adh5"
"35","Adi1","ADI1","ADI1_Adi1"
"36","Adipor1","ADIPOR1","ADIPOR1_Adipor1"
"37","Adnp2","ADNP2","ADNP2_Adnp2"
"38","Ado","ADO","ADO_Ado"
"39","Adra1d","ADRA1D","ADRA1D_Adra1d"
"40","Aebp1","AEBP1","AEBP1_Aebp1"
"41","Aebp2","AEBP2","AEBP2_Aebp2"
"42","Afap1","AFAP1","AFAP1_Afap1"
"43","Aff1","AFF1","AFF1_Aff1"
"44","Aff3","AFF3","AFF3_Aff3"
"45","Afg3l2","AFG3L2","AFG3L2_Afg3l2"
"46","Aftph","AFTPH","AFTPH_Aftph"
"47","Agbl5","AGBL5","AGBL5_Agbl5"
"48","Agfg2","AGFG2","AGFG2_Agfg2"
"49","Ago1","AGO1","AGO1_Ago1"
"50","Agpat1","AGPAT1","AGPAT1_Agpat1"
"51","Agpat2","AGPAT2","AGPAT2_Agpat2"
"52","Agps","AGPS","AGPS_Agps"
"53","Ahnak","AHNAK","AHNAK_Ahnak"
"54","Ahr","AHR","AHR_Ahr"
"55","Ahrr","AHRR","AHRR_Ahrr"
"56","Aida","AIDA","AIDA_Aida"
"57","Aifm2","AIFM2","AIFM2_Aifm2"
"58","Ajuba","AJUBA","AJUBA_Ajuba"
"59","Ak3","AK3","AK3_Ak3"
"60","Akap1","AKAP1","AKAP1_Akap1"
"61","Akap11","AKAP11","AKAP11_Akap11"
"62","Akap12","AKAP12","AKAP12_Akap12"
"63","Akap7","AKAP7","AKAP7_Akap7"
"64","Akirin2","AKIRIN2","AKIRIN2_Akirin2"
"65","Akna","AKNA","AKNA_Akna"
"66","Akt1s1","AKT1S1","AKT1S1_Akt1s1"
"67","Akt2","AKT2","AKT2_Akt2"
"68","Alcam","ALCAM","ALCAM_Alcam"
"69","Aldh18a1","ALDH18A1","ALDH18A1_Aldh18a1"
"70","Aldh1l2","ALDH1L2","ALDH1L2_Aldh1l2"
"71","Alg2","ALG2","ALG2_Alg2"
"72","Alkbh5","ALKBH5","ALKBH5_Alkbh5"
"73","Alkbh8","ALKBH8","ALKBH8_Alkbh8"
"74","Ampd3","AMPD3","AMPD3_Ampd3"
"75","Amz2","AMZ2","AMZ2_Amz2"
"76","Ankib1","ANKIB1","ANKIB1_Ankib1"
"77","Ankle2","ANKLE2","ANKLE2_Ankle2"
"78","Ankrd13c","ANKRD13C","ANKRD13C_Ankrd13c"
"79","Ankrd13d","ANKRD13D","ANKRD13D_Ankrd13d"
"80","Ankrd17","ANKRD17","ANKRD17_Ankrd17"
"81","Ankrd28","ANKRD28","ANKRD28_Ankrd28"
"82","Ankrd40","ANKRD40","ANKRD40_Ankrd40"
"83","Ankrd50","ANKRD50","ANKRD50_Ankrd50"
"84","Anks3","ANKS3","ANKS3_Anks3"
"85","Anks6","ANKS6","ANKS6_Anks6"
"86","Anp32b","ANP32B","ANP32B_Anp32b"
"87","Anpep","ANPEP","ANPEP_Anpep"
"88","Anxa5","ANXA5","ANXA5_Anxa5"
"89","Ap2a2","AP2A2","AP2A2_Ap2a2"
"90","Ap2b1","AP2B1","AP2B1_Ap2b1"
"91","Ap2s1","AP2S1","AP2S1_Ap2s1"
"92","Ap4e1","AP4E1","AP4E1_Ap4e1"
"93","Ap5b1","AP5B1","AP5B1_Ap5b1"
"94","Apbb1ip","APBB1IP","APBB1IP_Apbb1ip"
"95","Aplp1","APLP1","APLP1_Aplp1"
"96","Aplp2","APLP2","APLP2_Aplp2"
"97","Appl1","APPL1","APPL1_Appl1"
"98","Araf","ARAF","ARAF_Araf"
"99","Arel1","AREL1","AREL1_Arel1"
"100","Arf3","ARF3","ARF3_Arf3"
"101","Arf6","ARF6","ARF6_Arf6"
"102","Arfgef2","ARFGEF2","ARFGEF2_Arfgef2"
"103","Arfip2","ARFIP2","ARFIP2_Arfip2"
"104","Arfrp1","ARFRP1","ARFRP1_Arfrp1"
"105","Arhgap29","ARHGAP29","ARHGAP29_Arhgap29"
"106","Arhgap31","ARHGAP31","ARHGAP31_Arhgap31"
"107","Arhgap35","ARHGAP35","ARHGAP35_Arhgap35"
"108","Arhgap39","ARHGAP39","ARHGAP39_Arhgap39"
"109","Arhgap4","ARHGAP4","ARHGAP4_Arhgap4"
"110","Arhgdib","ARHGDIB","ARHGDIB_Arhgdib"
"111","Arhgef1","ARHGEF1","ARHGEF1_Arhgef1"
"112","Arhgef10","ARHGEF10","ARHGEF10_Arhgef10"
"113","Arhgef11","ARHGEF11","ARHGEF11_Arhgef11"
"114","Arhgef18","ARHGEF18","ARHGEF18_Arhgef18"
"115","Arhgef2","ARHGEF2","ARHGEF2_Arhgef2"
"116","Arid3a","ARID3A","ARID3A_Arid3a"
"117","Arid5b","ARID5B","ARID5B_Arid5b"
"118","Arl10","ARL10","ARL10_Arl10"
"119","Arl2","ARL2","ARL2_Arl2"
