name1	name2	siteStart1	siteEnd1	siteStart2	siteEnd2	siteLen	siteCmpl	siteScore	regStart1	regLen1	regStart2	regLen2	regGC	deltaG	Pvalue	Padj	key
1	ENSMUST00000184554.7	chr1_28668634_28668933_+@GMEB1_ENSMUST00000105965.7:Gmeb1	82	145	851	911	64	0.67188	64	82	64	851	61	0.888	-45.5168	0.000136	0.00079	chr1_28668634_28668933_+@GMEB1_ENSMUST00000105965.7:Gmeb1 82
2	ENSMUST00000184554.7	chr20_49713728_49714027_-@B4GALT5_ENSMUST00000109221.8:B4galt5	76	142	895	962	69	0.68116	79	76	67	895	68	0.85185	-41.6898	0.000393	0.00169	chr20_49713728_49714027_-@B4GALT5_ENSMUST00000109221.8:B4galt5 76
3	ENSMUST00000184554.7	chr7_121396158_121396350_-@FAM3C_ENSMUST00000163371.7:Fam3c	78	145	891	954	68	0.66176	47	78	68	891	64	0.82576	-41.4392	7.66e-07	2.53e-05	chr7_121396158_121396350_-@FAM3C_ENSMUST00000163371.7:Fam3c 78
4	ENSMUST00000184554.7	chr5_178204518_178204682_+@HNRNPAB_ENSMUST00000074669.9:Hnrnpab	87	140	786	838	54	0.61111	48	87	54	786	53	0.85047	-38.988	1.77e-07	9.47e-06	chr5_178204518_178204682_+@HNRNPAB_ENSMUST00000074669.9:Hnrnpab 87
5	ENSMUST00000184554.7	chr13_30465204_30465389_-@HMGB1_ENSMUST00000138553.7:Hmgb1	80	154	636	710	76	0.67105	77	80	75	636	75	0.88667	-38.228	3.83e-09	8.07e-07	chr13_30465204_30465389_-@HMGB1_ENSMUST00000138553.7:Hmgb1 80
6	ENSMUST00000184554.7	chr14_103057463_103057675_-@CDC42BPB_ENSMUST00000222196.1:Cdc42bpb	87	145	881	936	60	0.71667	67	87	59	881	56	0.86957	-38.076	1.98e-06	4.42e-05	chr14_103057463_103057675_-@CDC42BPB_ENSMUST00000222196.1:Cdc42bpb 87
7	ENSMUST00000184554.7	chr17_2337351_2337650_+@SGSM2_ENSMUST00000057631.11:Sgsm2	73	143	897	967	72	0.70833	76	73	71	897	71	0.83803	-37.9152	6.52e-05	0.00047	chr17_2337351_2337650_+@SGSM2_ENSMUST00000057631.11:Sgsm2 73
8	ENSMUST00000184554.7	chr2_105329579_105329852_-@TGFBRAP1_ENSMUST00000188728.1:Tgfbrap1	77	134	925	982	59	0.71186	78	77	58	925	58	0.84483	-37.9016	0.000448	0.00186	chr2_105329579_105329852_-@TGFBRAP1_ENSMUST00000188728.1:Tgfbrap1 77
9	ENSMUST00000184554.7	chr16_69385948_69386137_-@TERF2_ENSMUST00000068388.14:Terf2	71	143	776	847	74	0.66216	74	71	73	776	72	0.84138	-37.888	5.05e-08	3.81e-06	chr16_69385948_69386137_-@TERF2_ENSMUST00000068388.14:Terf2 71
10	ENSMUST00000184554.7	chr5_176416549_176416568_-@CLTB_ENSMUST00000091609.10:Cltb	79	144	909	973	66	0.63636	62	79	66	909	65	0.80916	-36.564	7.9e-06	0.000109	chr5_176416549_176416568_-@CLTB_ENSMUST00000091609.10:Cltb 79
11	ENSMUST00000184554.7	chr3_138834738_138835037_-@PIK3CB_ENSMUST00000035037.13:Pik3cb	70	145	888	966	79	0.64557	64	70	76	888	79	0.83226	-36.5138	2.29e-07	1.16e-05	chr3_138834738_138835037_-@PIK3CB_ENSMUST00000035037.13:Pik3cb 70
