name1	name2	siteStart1	siteEnd1	siteStart2	siteEnd2	siteLen	siteCmpl	siteScore	regStart1	regLen1	regStart2	regLen2	regGC	deltaG	Pvalue	Padj
1	ENSMUST00000184554.7	chr2_24491134_24491422_+@NCOA1_ENSMUST00000085814.4:Ncoa1	60	142	576	661	88	0.63636	64	60	83	576	86	0.84024	-53.3632	7.5e-09	9.64e-07
2	ENSMUST00000184554.7	chr21_15729997_15730160_+@USP25_ENSMUST00000232047.1:Usp25	26	145	140	255	120	0.60833	56	26	120	140	116	0.84746	-45	0.000617	0.0022
3	ENSMUST00000184554.7	chr14_50668315_50668480_-@SAV1_ENSMUST00000021467.7:Sav1	62	150	864	952	91	0.67033	74	62	89	864	89	0.83146	-43.2796	3.78e-08	2.66e-06
4	ENSMUST00000184554.7	chr20_49713728_49714027_-@B4GALT5_ENSMUST00000109221.8:B4galt5	76	142	895	962	69	0.68116	79	76	67	895	68	0.85185	-41.6898	2e-04	0.000999
5	ENSMUST00000184554.7	chr2_240568340_240568639_+@RNPEPL1_ENSMUST00000178116.7:Rnpepl1	73	142	127	193	70	0.6	47	73	70	127	67	0.82482	-40.908	6.28e-06	8.78e-05
6	ENSMUST00000184554.7	chr20_32358225_32358416_+@ASXL1_ENSMUST00000109790.1:Asxl1	73	142	364	434	72	0.68056	60	73	70	364	71	0.87943	-40.6944	6e-07	1.79e-05
7	ENSMUST00000184554.7	chr12_71754723_71755022_+@RAB21_ENSMUST00000020343.8:Rab21	82	144	717	778	63	0.69841	69	82	63	717	62	0.888	-39.06	5.81e-06	8.4e-05
8	ENSMUST00000184554.7	chr14_103057463_103057675_-@CDC42BPB_ENSMUST00000222196.1:Cdc42bpb	87	145	881	936	60	0.71667	67	87	59	881	56	0.86957	-38.076	1.98e-06	4.2e-05
9	ENSMUST00000184554.7	chr2_105329579_105329852_-@TGFBRAP1_ENSMUST00000188728.1:Tgfbrap1	77	134	925	982	59	0.71186	78	77	58	925	58	0.84483	-37.9016	0.000448	0.00175
10	ENSMUST00000184554.7	chr16_69385948_69386137_-@TERF2_ENSMUST00000068388.14:Terf2	71	143	776	847	74	0.66216	74	71	73	776	72	0.84138	-37.888	5.05e-08	2.96e-06
11	ENSMUST00000184554.7	chr19_38647499_38647668_+@ACTN4_ENSMUST00000127210.7:Actn4	68	143	838	911	76	0.60526	58	68	76	838	74	0.79333	-37.7416	2.16e-05	0.000205
12	ENSMUST00000184554.7	chr13_40789301_40789521_+@SLC25A15_ENSMUST00000033871.7:Slc25a15	56	145	822	914	93	0.64516	65	56	90	822	93	0.85792	-36.1212	9.09e-06	0.000115
13	ENSMUST00000184554.7	chr6_17600328_17600501_+@FAM8A1_ENSMUST00000099547.3:Fam8a1	71	139	446	514	69	0.62319	70	71	69	446	69	0.86232	-35.949	4.38e-08	2.82e-06
14	ENSMUST00000184554.7	chr12_109880520_109880690_-@GLTP_ENSMUST00000012028.13:Gltp	71	141	913	982	71	0.67606	78	71	71	913	70	0.85106	-35.1308	0.00825	0.0159
15	ENSMUST00000184554.7	chr19_12995368_12995636_+@NFIX_ENSMUST00000076715.12:Nfix	88	145	588	645	60	0.7	48	88	58	588	58	0.85345	-35.064	5.96e-09	8.51e-07
16	ENSMUST00000184554.7	chr8_70608310_70608383_-@TRAM1_ENSMUST00000188377.1:Tram1	71	122	913	964	53	0.75472	66	71	52	913	52	0.85577	-33.9412	0.000279	0.00126
17	ENSMUST00000184554.7	chr8_98294400_98294514_-@NIPAL2_ENSMUST00000228073.1:Nipal2	82	145	926	990	66	0.66667	58	82	64	926	65	0.83721	-33.5412	0.00215	0.00552
